Quote,Author
"
      “You are too generous to trifle with me. If your feelings are still what they were last April, tell me so at once. My affections and wishes are unchanged; but one word from you will silence me on this subject for ever.”
  ",Jane Austen
"
      “Give a girl an education and introduce her properly into the world, and ten to one but she has the means of settling well, without further expense to anybody. ”
  ",Jane Austen
"
      “I am the happiest creature in the world. Perhaps other people have said so before, but not one with such justice. I am happier even than Jane; she only smiles, I laugh.”
  ",Jane Austen
"
      “To be fond of dancing was a certain step towards falling in love”
  ",Jane Austen
"
      “My idea of good company...is the company of clever, well-informed people, who have a great deal of conversation; that is what I call good company.' ",Jane Austen
"
      “From the very beginning— from the first moment, I may almost say— of my acquaintance with you, your manners, impressing me with the fullest belief of your arrogance, your conceit, and your selfish disdain of the feelings of others, were such as to form the groundwork of disapprobation on which succeeding events have built so immovable a dislike; and I had not known you a month before I felt that you were the last man in the world whom I could ever be prevailed on to marry.”
  ",Jane Austen
"
      “If I loved you less, I might be able to talk about it more.”
  ",Jane Austen
"
      “For what do we live, but to make sport for our neighbors, and laugh at them in our turn?”
  ",Jane Austen
"
      “I always deserve the best treatment because I never put up with any other.”
  ",Jane Austen
"
      “You must learn some of my philosophy. Think only of the past as its remembrance gives you pleasure.”
  ",Jane Austen
"
      “We are all fools in love”
  ",Jane Austen
"
      “It is only a novel... or, in short, only some work in which the greatest powers of the mind are displayed, in which the most thorough knowledge of human nature, the happiest delineation of its varieties, the liveliest effusions of wit and humour, are conveyed to the world in the best-chosen language”
  ",Jane Austen
"
      “I have faults enough, but they are not, I hope, of understanding. My temper I dare not vouch for. It is, I believe, too little yielding— certainly too little for the convenience of the world. I cannot forget the follies and vices of other so soon as I ought, nor their offenses against myself. My feelings are not puffed about with every attempt to move them. My temper would perhaps be called resentful. My good opinion once lost, is lost forever.”
  ",Jane Austen
"
      “An unhappy alternative is before you, Elizabeth. From this day you must be a stranger to one of your parents. Your mother will never see you again if you do not marry Mr. Collins, and I will never see you again if you do.”
  ",Jane Austen
"
      “Life seems but a quick succession of busy nothings.”
  ",Jane Austen
"
      “We all know him to be a proud, unpleasant sort of man; but this would be nothing if you really liked him.”
  ",Jane Austen
"
      “Till this moment I never knew myself.”
  ",Jane Austen
"
      “He is a gentleman, and I am a gentleman's daughter. So far we are equal.”
  ",Jane Austen
"
      “If I could but know his heart, everything would become easy.”
  ",Jane Austen
"
      “My good opinion once lost is lost forever.”
  ",Jane Austen
"
      “A girl likes to be crossed a little in love now and then.",Jane Austen
"
      “Nothing ever fatigues me, but doing what I do not like.”
  ",Jane Austen
"
      “There is, I believe, in every disposition a tendency to some particular evil, a natural defect, which not even the best education can overcome.""",Jane Austen
"
      “Seldom, very seldom, does complete truth belong to any human disclosure; seldom can it happen that something is not a little disguised or a little mistaken.”
  ",Jane Austen
"
      “Her heart did whisper that he had done it for her.”
  ",Jane Austen
"
      “There could have been no two hearts so open, no tastes so similar, no feelings so in unison”
  ",Jane Austen
"
      “What strange creatures brothers are!”
  ",Jane Austen
"
      “You must allow me to tell you how ardently I admire and love you.",Jane Austen
"
      “The distance is nothing when one has a motive.”
  ",Jane Austen
"
      “I declare after all there is no enjoyment like reading! How much sooner one tires of anything than of a book!”
  ",Jane Austen
"
      “I cannot make speeches, Emma...If I loved you less, I might be able to talk about it more. But you know what I am. You hear nothing but truth from me. I have blamed you, and lectured you, and you have borne it as no other woman in England would have borne it.”
  ",Jane Austen
"
      “I do not think I ever opened a book in my life which had not something to say upon woman's inconstancy. Songs and proverbs, all talk of woman's fickleness. But perhaps you will say, these were all written by men.""",Jane Austen
"
      “Know your own happiness. You want nothing but patience- or give it a more fascinating name, call it hope.”
  ",Jane Austen
"
      “I have been a selfish being all my life, in practice, though not in principle. As a child I was taught what was right, but I was not taught to correct my temper. I was given good principles, but left to follow them in pride and conceit. Unfortunately an only son (for many years an only child), I was spoilt by my parents, who, though good themselves (my father, particularly, all that was benevolent and amiable), allowed, encouraged, almost taught me to be selfish and overbearing; to care for none beyond my own family circle; to think meanly of all the rest of the world; to wish at least to think meanly of their sense and worth compared with my own. Such I was, from eight to eight and twenty; and such I might still have been but for you, dearest, loveliest Elizabeth! What do I not owe you! You taught me a lesson, hard indeed at first, but most advantageous. By you, I was properly humbled. I came to you without a doubt of my reception. You showed me how insufficient were all my pretensions to please a woman worthy of being pleased.”
  ",Jane Austen
"
      “I wish, as well as everybody else, to be perfectly happy; but, like everybody else, it must be in my own way.”
  ",Jane Austen
"
      “Run mad as often as you choose, but do not faint!”
  ",Jane Austen
"
      “Oh, Lizzy! do anything rather than marry without affection.”
  ",Jane Austen
"
      “A woman, especially if she have the misfortune of knowing anything, should conceal it as well as she can.”
  ",Jane Austen
"
      “Mary wished to say something very sensible, but knew not how.”
  ",Jane Austen
"
      “Nobody can tell what I suffer! But it is always so. Those who do not complain are never pitied.”
  ",Jane Austen
"
      “There are people, who the more you do for them, the less they will do for themselves.”
  ",Jane Austen
"
      “It is not time or opportunity that is to determine intimacy;—it is disposition alone. Seven years would be insufficient to make some people acquainted with each other, and seven days are more than enough for others.”
  ",Jane Austen
"
      “She was sensible and clever, but eager in everything; her sorrows, her joys, could have no moderation.”
  ",Jane Austen
"
      “Which of all my important nothings shall I tell you first?”
  ",Jane Austen
"
      “One half of the world cannot understand the pleasures of the other.”
  ",Jane Austen
"
      “I certainly have not the talent which some people possess,"" said Darcy, ""of conversing easily with those I have never seen before. I cannot catch their tone of conversation, or appear interested in their concerns, as I often see done.”
  ",Jane Austen
"
      “It is not everyone,' said Elinor, 'who has your passion for dead leaves.”
  ",Jane Austen
"
      “She is tolerable, but not handsome enough to tempt me, and I am in no humor at present to give consequence to young ladies who are slighted by other men.”
  ",Jane Austen
"
      “How quick come the reasons for approving what we like.”
  ",Jane Austen
"
      “It would be mortifying to the feelings of many ladies, could they be made to understand how little the heart of a man is affected by what is costly or new in their attire... Woman is fine for her own satisfaction alone. No man will admire her the more, no woman will like her the better for it. Neatness and fashion are enough for the former, and a something of shabbiness or impropriety will be most endearing to the latter.”
  ",Jane Austen
"
      “Stupid men are the only ones worth knowing after all.”
  ",Jane Austen
"
      “It's been many years since I had such an exemplary vegetable.”
  ",Jane Austen
"
      “Without music, life would be a blank to me.”
  ",Jane Austen
"
      “Better be without sense than misapply it as you do. ”
  ",Jane Austen
"
      “All the privilege I claim for my own sex (it is not a very enviable one: you need not covet it), is that of loving longest, when existence or when hope is gone!”
  ",Jane Austen
"
      “...when pain is over, the remembrance of it often becomes a pleasure.”
  ",Jane Austen
"
      “One man's ways may be as good as another's, but we all like our own best.”
  ",Jane Austen
"
      “Had I been in love, I could not have been more wretchedly blind. But vanity, not love, has been my folly.”
  ",Jane Austen
"
      “I come here with no expectations, only to profess, now that I am at liberty to do so, that my heart is and always will be...yours.”
  ",Jane Austen
"
      “I will be calm. I will be mistress of myself.”
  ",Jane Austen
"
      “I am only resolved to act in that manner, which will, in my own opinion, constitute my happiness, without reference to you, or to any person so wholly unconnected with me.”
  ",Jane Austen
"
      “You must be the best judge of your own happiness.”
  ",Jane Austen
"
      “There is no charm equal to tenderness of heart.”
  ",Jane Austen
"
      “A man does not recover from such devotion of the heart to such a woman! He ought not; he does not.”
  ",Jane Austen
"
      “But people themselves alter so much, that there is something new to be observed in them for ever.”
  ",Jane Austen
"
      “Occupied in observing Mr. Bingley’s attentions to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend. Mr. Darcy had at first scarcely allowed her to be pretty: he had looked at her without admiration at the ball; and when they next met, he looked at her only to criticise. But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes. To this discovery succeeded some others equally mortifying. Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing; and in spite of his asserting that her manners were not those of the fashionable world, he was caught by their easy playfulness. Of this she was perfectly unaware: to her he was only the man who made himself agreeable nowhere, and who had not thought her handsome enough to dance with.”
  ",Jane Austen
"
      “I am excessively diverted. ”
  ",Jane Austen
"
      “I never wish to offend, but I am so foolishly shy, that I often seem negligent, when I am only kept back by my natural awkwardness. [...] Shyness is only the effect of a sense of inferiority in some way or other. If I could persuade myself that my manners were perfectly easy and graceful, I should not be shy.”
  ",Jane Austen
"
      “She hoped to be wise and reasonable in time; but alas! Alas! She must confess to herself that she was not wise yet.”
  ",Jane Austen
"
      “I cannot speak well enough to be unintelligible.”
  ",Jane Austen
"
      “If adventures will not befall a young lady in her own village, she must seek them abroad.”
  ",Jane Austen
"
      “Time will explain.”
  ",Jane Austen
"
      “Follies and nonsense, whims and inconsistencies do divert me, I own, and I laugh at them whenever I can.”
  ",Jane Austen
"
      “They were within twenty yards of each other, and so abrupt was his appearance, that it was impossible to avoid his sight. Their eyes instantly met, and the cheeks of each were overspread with the deepest blush. He absolutely started, and for a moment seemed immoveable from surprise; but shortly recovering himself, advanced towards the party, and spoke to Elizabeth, if not in terms of perfect composure, at least of perfect civility.”
  ",Jane Austen
"
      “She was convinced that she could have been happy with him, when it was no longer likely they should meet.”
  ",Jane Austen
"
      “Let us never underestimate the power of a well-written letter.”
  ",Jane Austen
"
      “No man is offended by another man's admiration of the woman he loves; it is the woman only who can make it a torment.”
  ",Jane Austen
"
      “We have all a better guide in ourselves, if we would attend to it, than any other person can be.”
  ",Jane Austen
"
      “Elinor agreed to it all, for she did not think he deserved the compliment of rational opposition.”
  ",Jane Austen
"
      “Selfishness must always be forgiven you know, because there is no hope of a cure.”
  ",Jane Austen
"
      “Nothing is more deceitful,"" said Darcy, ""than the appearance of humility. It is often only carelessness of opinion, and sometimes an indirect boast.”
  ",Jane Austen
"
      “Men of sense, whatever you may choose to say, do not want silly wives.”
  ",Jane Austen
"
      “Her ",Jane Austen
"
      “Now be sincere; did you admire me for my impertinence?""",Jane Austen
"
      “To wish was to hope, and to hope was to expect”
  ",Jane Austen
"
      “Do not consider me now as an elegant female intending to plague you, but as a rational creature speaking the truth from her heart.”
  ",Jane Austen
"
      “One cannot be always laughing at a man without now and then stumbling on something witty.”
  ",Jane Austen
"
      “They walked on, without knowing in what direction. There was too much to be thought, and felt, and said, for attention to any other objects.”
  ",Jane Austen
"
      “Now they were as strangers; worse than strangers, for they could never become acquainted.”
  ",Jane Austen
"
      “I might as well enquire,” replied she, “why with so evident a design of offending and insulting me, you chose to tell me that you liked me against your will, against your reason, and even against your character?”
  ",Jane Austen
"
      “A large income is the best recipe for happiness I ever heard of.”
  ",Jane Austen
"
      “I am determined that only the deepest love will induce me into matrimony. So, I shall end an old maid, and teach your ten children to embroider cushions and play their instruments very ill.”
  ",Jane Austen
"
      “Do not give way to useless alarm; though it is right to be prepared for the worst, there is no occasion to look on it as certain.”
  ",Jane Austen
"
      “If a book is well written, I always find it too short.”
  ",Jane Austen
"
      “Have a little compassion on my nerves. You tear them to pieces.”
  ",Jane Austen
"
      “I have been used to consider poetry as ""the food of love"" said Darcy.",Jane Austen
"
      “I was quiet, but I was not blind.”
  ",Jane Austen
"
      “Were I to fall in love, indeed, it would be a different thing; but I have never been in love ; it is not my way, or my nature; and I do not think I ever shall.”
  ",Jane Austen
"
      “She was stronger alone…”
  ",Jane Austen
"
      “How despicably I have acted!"" she cried; ""I, who have prided myself on my discernment! I, who have valued myself on my abilities! who have often disdained the generous candour of my sister, and gratified my vanity in useless or blameable mistrust! How humiliating is this discovery! Yet, how just a humiliation! Had I been in love, I could not have been more wretchedly blind. But vanity, not love, has been my folly. Pleased with the preference of one, and offended by the neglect of the other, on the very beginning of our aquaintance, I have courted prepossession and ignorance, and driven reason away, where either were concerned. Till this moment I never knew myself.”
  ",Jane Austen
"
      “One word from you shall silence me forever.”
  ",Jane Austen
"
      “You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever.”
  ",Jane Austen
"
      “You are mistaken, Mr. Darcy, if you suppose that the mode of your declaration affected me in any other way, than as it spared the concern which I might have felt in refusing you, had you behaved in a more gentlemanlike manner."" (Elizabeth Bennett)”
  ",Jane Austen
"
      “She had been forced into prudence in her youth, she learned romance as she grew older: the natural sequel of an unnatural beginning.”
  ",Jane Austen
"
      “It is happy for you that you possess the talent of flattering with delicacy. May I ask whether these pleasing attentions proceed from the impulse of the moment, or are they the result of previous study?”
  ",Jane Austen
"
      “From all that I can collect by your manner of talking, you must be two of the silliest girls in the country. I have suspected it some time, but I am now convinced.”
  ",Jane Austen
"
      “Could there be finer symptoms? Is not general incivility the very essence of love?”
  ",Jane Austen
"
      “A fondness for reading, properly directed, must be an education in itself.”
  ",Jane Austen
"
      “A person who can write a long letter with ease, cannot write ill.”
  ",Jane Austen
"
      “Oh! I am delighted with the book! I should like to spend my whole life in reading it.”
  ",Jane Austen
"
      “Men were put into the world to teach women the law of compromise. ”
  ",Jane Austen
"
      “To look ",Jane Austen
"
      “Indeed, I am very sorry to be right in this instance. I would much rather have been merry than wise.”
  ",Jane Austen
"
      “The person, be it gentlemen or lady, who has not pleasure in a good novel, must be intolerably stupid.”
  ",Jane Austen
"
      “We do not suffer by accident.”
  ",Jane Austen
"
      “Know your own happiness.”
  ",Jane Austen
"
      “Her own thoughts and reflections were habitually her best companions.”
  ",Jane Austen
"
      “Anne hoped she had outlived the age of blushing; but the age of emotion she certainly had not.”
  ",Jane Austen
"
      “Dare not say that man forgets sooner than woman, that his love has an earlier death.”
  ",Jane Austen
"
      “Do not be in a hurry, the right man will come at last”
  ",Jane Austen
"
      “There are as many forms of love as there are moments in time.”
  ",Jane Austen
"
      “Yes, vanity is a weakness indeed. But pride - where there is a real superiority of mind, pride will be always under good regulation.”
  ",Jane Austen
"
      “Dear Diary, Today I tried not to think about Mr. Knightly. I tried not to think about him when I discussed the menu with Cook... I tried not to think about him in the garden where I thrice plucked the petals off a daisy to acertain his feelings for Harriet. I don't think we should keep daisies in the garden, they really are a drab little flower. And I tried not to think about him when I went to bed, but something had to be done.”
  ",Jane Austen
"
      “Vanity working on a weak head produces every sort of mischief.”
  ",Jane Austen
"
      “She was one of those, who, having, once begun, would be always in love.”
  ",Jane Austen
"
      “Beware how you give your heart.”
  ",Jane Austen
"
      “Mr. Knightley, if I have not spoken, it is because I am afraid I will awaken myself from this dream.”
  ",Jane Austen
"
      “To sit in the shade on a fine day, and look upon verdure is the most perfect refreshment.”
  ",Jane Austen
"
      “Elizabeth's spirit's soon rising to playfulness again, she wanted Mr. Darcy to account for his having ever fallen in love with her. 'How could you begin?' said she.",Jane Austen
"
      “I lay it down as a general rule, Harriet, that if a woman doubts as to whether she should accept a man or not, she certainly ought to refuse him.”
  ",Jane Austen
"
      “Every moment has its pleasures and its hope.”
  ",Jane Austen
"
      “The more I see of the world, the more am i dissatisfied with it; and everyday confirms my belief of the inconsistencies of all human.”
  ",Jane Austen
"
      “I dearly love a laugh... I hope I never ridicule what is wise or good. Follies and nonsense, whims and inconsistencies do divert me, I own, and I laugh at them whenever I can.”
  ",Jane Austen
"
      “Mr. Bennet, how can you abuse your own children in such a way? You",Jane Austen
"
      “Adieu to disappointment and spleen. What are men to rocks and mountains?”
  ",Jane Austen
"
      “There will be little rubs and disappointments everywhere, and we are all apt to expect too much; but then, if one scheme of happiness fails, human nature turns to another; if the first calculation is wrong, we make a second better: we find comfort somewhere.”
  ",Jane Austen
"
      “She was heartily ashamed of her ignorance - a misplaced shame. Where people wish to attach, they should always be ignorant. To come with a well−informed mind is to come with an inability of administering to the vanity of others, which a sensible person would always wish to avoid. A woman especially, if she have the misfortune of knowing anything, should conceal it as well as she can.”
  ",Jane Austen
"
      “[I]t is well to have as many holds upon happiness as possible.”
  ",Jane Austen
"
      “To you I shall say, as I have often said before, Do not be in a hurry, the right man will come at last...”
  ",Jane Austen
"
      “You either choose this method of passing the evening because you are in each other's confidence, and have secret affairs to discuss, or because you are conscious that your figures appear to the greatest advantage in walking;— if the first, I should be completely in your way, and if the second, I can admire you much better as I sit by the fire.”
  ",Jane Austen
"
      “Always resignation and acceptance. Always prudence and honour and duty. Elinor, where is your heart?”
  ",Jane Austen
"
      “Indulge your imagination in every possible flight.”
  ",Jane Austen
"
      “It's such a happiness when good people get together.”
  ",Jane Austen
"
      “What do you know of my heart? What do you know of anything but your own suffering. For weeks, Marianne, I've had this pressing on me without being at liberty to speak of it to a single creature. It was forced on me by the very person whose prior claims ruined all my hope. I have endured her exultations again and again whilst knowing myself to be divided from Edward forever. Believe me, Marianne, had I not been bound to silence I could have provided proof enough of a broken heart, even for you.”
  ",Jane Austen
"
      “I assure you. I have no notion of treating men with such respect. That is the way to spoil them.”
  ",Jane Austen
"
      “No young lady can be justified in falling in love before the gentleman's love is declared, it must be very improper that a young lady should dream of a gentleman before the gentleman is first known to have dreamt of her.”
  ",Jane Austen
"
      “My dearest Emma,"" said he, ""for dearest you will always be, whatever the event of this hour's conversation, my dearest, most beloved Emma -- tell me at once. Say 'No,' if it is to be said."" She could really say nothing. ""You are silent,"" he cried, with great animation; ""absolutely silent! at present I ask no more.""",Jane Austen
"
      “If I could not be persuaded into doing what I thought wrong, I will never be tricked into it.”
  ",Jane Austen
"
      “She began now to comprehend that he was exactly the man who, in disposition and talents, would most suit her. His understanding and temper, though unlike her own, would have answered all her wishes. It was an union that must have been to the advantage of both: by her ease and liveliness, his mind might have been softened, his manners improved; and from his judgement, information, and knowledge of the world, she must have received benefit of greater importance.”
  ",Jane Austen
"
      “Eleanor went to her room ""where she was free to think and be wretched.”
  ",Jane Austen
"
      “How little of permanent happiness could belong to a couple who were only brought together because their passions were stronger than their virtue.”
  ",Jane Austen
"
      “Happiness in marriage is entirely a matter of chance. If the dispositions of the parties are ever so well known to each other or ever so similar beforehand, it does not advance their felicity in the least. They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your life.”
  ",Jane Austen
"
      “Let us have the luxury of silence.”
  ",Jane Austen
"
      “Every savage can dance.”
  ",Jane Austen
"
      “Badly done, Emma!”
  ",Jane Austen
"
      “Business, you know, may bring money, but friendship hardly ever does.”
  ",Jane Austen
"
      “She understood him. He could not forgive her,-but he could not be unfeeling. Though condemning her for the past, and considering it with high and unjest resentment, though perfectly careless of her, and though becoming attached to another, still he could not see her suffer, without the desire of giving her relief. It was a remainder of former sentiment; it was an impuse of pure, though unacknowledged friendship; it was a proof of his own warm and amiable heart, which she could not contemplate without emotions so compounded of pleasure and pain, that she knew not which prevailed.”
  ",Jane Austen
"
      “His cold politeness, his ceremonious grace, were worse than anything.”
  ",Jane Austen
"
      “for he is such a disagreeable man, that it would be quite a misfortune to be liked by him.”
  ",Jane Austen
"
      “And pictures of perfection, as you know, make me sick and wicked.”
  ",Jane Austen
"
      “What dreadful hot weather we have! It keeps me in a continual state of inelegance.”
  ",Jane Austen
"
      “You deserve a longer letter than this; but it is my unhappy fate seldom to treat people so well as they deserve.”
  ",Jane Austen
"
      “There is something so amiable in the prejudices of a young mind, that one is sorry to see them give way to the reception of more general opinions.”
  ",Jane Austen
"
      “I could not be happy with a man whose taste did not in every point coincide with my own. He must enter in all my feelings; the same books, the same music must charm us both.”
  ",Jane Austen
"
      “Mr. Darcy began to feel the danger of paying Elizabeth too much attention.”
  ",Jane Austen
"
      “Oh! Do not attack me with your watch. A watch is always too fast or too slow. I cannot be dictated to by a watch.”
  ",Jane Austen
"
      “Is not general incivility the very essence of love?”
  ",Jane Austen
"
      “She certainly did not hate him. No; hatred had vanished long ago, and she had almost as long been ashamed of ever feeling a dislike against him, that could be so called. The respect created by the conviction of his valuable qualities, though at first unwillingly admitted, had for some time ceased to be repugnant to her feelings; and it was now heightened into somewhat of a friendlier nature, by the testimony so highly in his favour, and bringing forward his disposition in so amiable a light, which yesterday had produced. But above all, above respect and esteem, there was a motive within her of good will which could not be overlooked. It was gratitude.--Gratitude not merely for having once loved her, but for loving her still well enough, to forgive all the petulance and acrimony of her manner in rejecting him, and all the unjust accusations accompanying her rejection. He who, she had been persuaded, would avoid her as his greatest enemy, seemed, on this accidental meeting, most eager to preserve the acquaintance, and without any indelicate display of regard, or any peculiarity of manner, where their two selves only were concerned, was soliciting the good opinion of her friends, and bent on making her known to his sister. Such a change in a man of so much pride, excited not only astonishment but gratitude--for to love, ardent love, it must be attributed; and as such its impression on her was of a sort to be encouraged, as by no means unpleasing, though it could not exactly be defined.”
  ",Jane Austen
"
      “They had no conversation together, no intercourse but what the commonest civility required. Once so much to each other! Now nothing! There had been a time, when of all the large party now filling the drawing-room at Uppercross, they would have found it most difficult to cease to speak to one another. With the exception, perhaps, of Admiral and Mrs. Croft, who seemed particularly attached and happy, (Anne could allow no other exception even among the married couples) there could have been no two hearts so open, no tastes so simliar, no feelings so in unison, no countenances so beloved. Now they were as strangers; nay, worse than strangers, for they could never become aquainted. It was a perpetual estrangement.”
  ",Jane Austen
"
      “But indeed I would rather have nothing but tea.”
  ",Jane Austen
"
      “Why not seize the pleasure at once? -- How often is happiness destroyed by preparation, foolish preparation!”
  ",Jane Austen
"
      “Think only of the past as its remembrance gives you pleasure.”
  ",Jane Austen
"
      “If there is any thing disagreeable going on, men are always sure to get out of it.”
  ",Jane Austen
"
      “The last few hours were certainly very painful,"" replied Anne: ""but when pain is over, the remembrance of it often becomes a pleasure. One does not love a place the less for having suffered in it, unless it has been all suffering, nothing but suffering-”
  ",Jane Austen
"
      “Now I must give one smirk and then we may be rational again”
  ",Jane Austen
"
      “Elizabeth had never been more at a loss to make her feelings appear what they were not. It was necessary to laugh, when she would rather have cried.”
  ",Jane Austen
"
      “Obstinate, headstrong girl!”
  ",Jane Austen
"
      “They parted at last with mutual civility, and possibly a mutual desire of never meeting again.”
  ",Jane Austen
"
      “Men have had every advantage of us in telling their own story. Education has been theirs in so much higher a degree; the pen has been in their hands. I will not allow books to prove anything.”
  ",Jane Austen
"
      “Now I must give one smirk, and then we may be rational again."" Catherine turned away her head, not knowing whether she might venture to laugh. ""I see what you think of me,"" said he gravely -- ""I shall make but a poor figure in your journal tomorrow."" ",Jane Austen
"
      “I never wish to offend, but I am so foolishly shy, that I often seem negligent, when I am only kept back by my natural awkwardness.""",Jane Austen
"
      “She had a lively, playful disposition that delighted in anything ridiculous.”
  ",Jane Austen
"
      “I am not at all in a humor for writing; I must write on till I am.”
  ",Jane Austen
"
      “That will do extremely well, child. You have delighted us long enough. Let the other young ladies have time to exhibit.”
  ",Jane Austen
"
      “She felt that she could so much more depend upon the sincerity of those who sometimes looked or said a careless or a hasty thing, than of those whose presence of mind never varied, whose tongue never slipped.”
  ",Jane Austen
"
      “Where the heart is really attached, I know very well how little one can be pleased with the attention of any body else.”
  ",Jane Austen
"
      “What a shame, for I dearly love to laugh.”
  ",Jane Austen
"
      “We certainly do not forget you, so soon as you forget us. It is, perhaps, our fate rather than our merit. We cannot help ourselves.”
  ",Jane Austen
"
      “We are each of an unsocial, taciturn disposition, unwilling to speak, unless we expect to say something that will amaze the whole room, and be handed down to posterity with all the eclat of a proverb.”
  ",Jane Austen
"
      “I have not wanted syllables where actions have spoken so plainly.”
  ",Jane Austen
"
      “Where so many hours have been spent in convincing myself that I am right, is there not some reason to fear I may be wrong?”
  ",Jane Austen
"
      “It is not every man's fate to marry the woman who loves him best”
  ",Jane Austen
"
      “If I had ever learnt, I should have been a great proficient.”
  ",Jane Austen
"
      “Friendship is really the finest balm for the pangs of disappointed love.”
  ",Jane Austen
"
      “She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in any thing ridiculous.”
  ",Jane Austen
"
      “I am now convinced that I have never been much in love; for had I really experienced that pure and elevating passion, I should at present detest his very name, and wish him all manner of evil. But my feelings are not only cordial towards him; they are even impartial towards her. I cannot find out that I hate her at all, or that I am in the least unwilling to think her a very good sort of girl. There can be no love in all this.”
  ",Jane Austen
"
      “Life could do nothing for her, beyond giving time for a better preparation for death.”
  ",Jane Austen
"
      “I cannot comprehend the neglect of a family library in such days as these.""",Jane Austen
"
      “To her own heart it was a delightful affair, to her imagination it was even a ridiculous one, but to her reason, her judgment, it was completely a puzzle.”
  ",Jane Austen
"
      “This sweetest and best of all creatures, faultless in spite of all her faults.”
  ",Jane Austen
"
      “I walk: I prefer walking.”
  ",Jane Austen
"
      “I am not fond of the idea of my shrubberies being always approachable.”
  ",Jane Austen
